rodada_id,atleta_id,apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,partida_id,team_id,opponent_id,is_home,p_team_win,p_draw,p_team_lose,odds_team_win,odds_draw,odds_team_lose,clube_casa_nome,clube_visitante_nome,partida_data,scout_json
5,37457,Léo Condé,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_kxDsG3A.png,2.74,6,287,True,BR_2024_5_5,287,276,True,0.25119032299575345,0.31707630935529535,0.4317333676489512,3.85,3.05,2.24,Vitória,São Paulo,2024-05-05 16:01:00,{}
5,37656,Fábio,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,3.0,1,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DE"": 5, ""GS"": 2}"
5,38398,Renato Augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,9.2,4,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DS"": 1, ""G"": 1}"
5,38402,Marcelo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,7.1,2,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DS"": 6, ""FC"": 2, ""FS"": 1}"
5,38545,Felipe Melo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,-0.1,3,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""CA"": 1, ""DS"": 1, ""FC"": 1}"
5,39148,Hulk,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,1.6,5,282,True,BR_2024_5_1,282,266,False,0.45003423925449004,0.29056264696611217,0.2594031137793978,2.15,3.33,3.73,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DS"": 1, ""FS"": 1, ""I"": 1}"
5,39656,Alan Franco,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,2.3,4,282,True,BR_2024_5_1,282,266,False,0.45003423925449004,0.29056264696611217,0.2594031137793978,2.15,3.33,3.73,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DS"": 2, ""FC"": 2, ""FS"": 1}"
5,42222,Osvaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,1.9,5,287,True,BR_2024_5_5,287,276,True,0.25119032299575345,0.31707630935529535,0.4317333676489512,3.85,3.05,2.24,Vitória,São Paulo,2024-05-05 16:01:00,"{""DS"": 1, ""FC"": 1, ""FS"": 2}"
5,42411,Cuca,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,9.87,6,293,True,BR_2024_5_4,293,267,True,0.5735449591650926,0.2515810786938265,0.1748739621410809,1.68,3.83,5.51,Athletico-PR,Vasco,2024-05-05 16:01:00,"{""V"": 1}"
5,42500,Fagner,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,6.7,2,264,True,BR_2024_5_3,264,356,True,0.44955923804736164,0.3088026715021813,0.2416380904504569,2.15,3.13,4.0,Corinthians,Fortaleza,2024-05-04 21:00:00,"{""FD"": 1, ""FS"": 1, ""SG"": 1}"
5,45125,Tite,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,4.39,6,262,True,BR_2024_5_2,262,280,False,0.35178007154128577,0.3051719863528504,0.3430479421058638,2.75,3.17,2.82,Bragantino,Flamengo,2024-05-04 18:30:00,{}
5,50353,Titi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,5.8,3,356,True,BR_2024_5_3,356,264,False,0.2416380904504569,0.3088026715021813,0.44955923804736164,4.0,3.13,2.15,Corinthians,Fortaleza,2024-05-04 21:00:00,"{""DS"": 1, ""FC"": 3, ""FS"": 1, ""SG"": 1}"
5,51413,Walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,2.0,1,1371,True,BR_2024_5_7,1371,275,True,0.18253814950743674,0.3065481939347112,0.5109136565578521,5.29,3.15,1.89,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""DE"": 4, ""GS"": 2}"
5,51772,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,3.6,4,265,True,BR_2024_5_6,265,263,False,0.27671530861959576,0.27281790990664373,0.45046678147376057,3.5,3.55,2.15,Botafogo,Bahia,2024-05-05 18:30:00,"{""DS"": 2, ""FD"": 1}"
5,62020,Douglas Costa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,1.7,5,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DS"": 1, ""FS"": 1}"
5,62977,Ganso,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,1.6,4,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""CA"": 1, ""DS"": 1, ""FC"": 2, ""FS"": 4}"
5,63013,Marcos Rocha,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,6.2,2,275,True,BR_2024_5_7,275,1371,False,0.5109136565578521,0.3065481939347112,0.18253814950743674,1.89,3.15,5.29,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""DS"": 1, ""SG"": 1}"
5,68928,Rafael,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,0.0,1,276,True,BR_2024_5_5,276,287,False,0.4317333676489512,0.31707630935529535,0.25119032299575345,2.24,3.05,3.85,Vitória,São Paulo,2024-05-05 16:01:00,"{""DE"": 1, ""GS"": 1}"
5,68952,Marinho,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,1.5,5,356,True,BR_2024_5_3,356,264,False,0.2416380904504569,0.3088026715021813,0.44955923804736164,4.0,3.13,2.15,Corinthians,Fortaleza,2024-05-04 21:00:00,"{""CA"": 1, ""DS"": 1, ""FC"": 1, ""FF"": 2}"
5,69014,Manoel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,2.1,3,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DS"": 2, ""FC"": 1}"
5,69034,Paulinho,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_s4LBKU4.png,0.8,4,264,True,BR_2024_5_3,264,356,True,0.44955923804736164,0.3088026715021813,0.2416380904504569,2.15,3.13,4.0,Corinthians,Fortaleza,2024-05-04 21:00:00,"{""FF"": 1}"
5,69102,Vargas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,15.9,5,282,True,BR_2024_5_1,282,266,False,0.45003423925449004,0.29056264696611217,0.2594031137793978,2.15,3.33,3.73,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""G"": 2, ""I"": 1}"
5,69138,Pablo,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,3.8,5,293,True,BR_2024_5_4,293,267,True,0.5735449591650926,0.2515810786938265,0.1748739621410809,1.68,3.83,5.51,Athletico-PR,Vasco,2024-05-05 16:01:00,"{""FF"": 1, ""FT"": 1}"
5,69705,Nikão,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,6.4,4,293,True,BR_2024_5_4,293,267,True,0.5735449591650926,0.2515810786938265,0.1748739621410809,1.68,3.83,5.51,Athletico-PR,Vasco,2024-05-05 16:01:00,"{""DS"": 2, ""FD"": 1, ""FF"": 3, ""FS"": 1, ""I"": 1}"
5,70221,Bruno Uvini,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,-1.3,3,287,True,BR_2024_5_5,287,276,True,0.25119032299575345,0.31707630935529535,0.4317333676489512,3.85,3.05,2.24,Vitória,São Paulo,2024-05-05 16:01:00,"{""CA"": 1, ""FC"": 1}"
5,70360,Eduardo Sasha,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,1.9,5,280,True,BR_2024_5_2,280,262,True,0.3430479421058638,0.3051719863528504,0.35178007154128577,2.82,3.17,2.75,Bragantino,Flamengo,2024-05-04 18:30:00,"{""DS"": 1, ""FC"": 2, ""FF"": 1, ""FS"": 1}"
5,70666,Marllon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3.6,3,1371,True,BR_2024_5_7,1371,275,True,0.18253814950743674,0.3065481939347112,0.5109136565578521,5.29,3.15,1.89,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""DS"": 3}"
5,71227,Maicon,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,2.1,3,267,True,BR_2024_5_4,267,293,False,0.1748739621410809,0.2515810786938265,0.5735449591650926,5.51,3.83,1.68,Athletico-PR,Vasco,2024-05-05 16:01:00,"{""DS"": 2, ""FC"": 1}"
5,71631,Weverton,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,6.0,1,275,True,BR_2024_5_7,275,1371,False,0.5109136565578521,0.3065481939347112,0.18253814950743674,1.89,3.15,5.29,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""DE"": 1, ""SG"": 1}"
5,71684,Gustavo Gómez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,6.2,3,275,True,BR_2024_5_7,275,1371,False,0.5109136565578521,0.3065481939347112,0.18253814950743674,1.89,3.15,5.29,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""DS"": 1, ""SG"": 1}"
5,71701,Santiago Arias,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,3.7,2,265,True,BR_2024_5_6,265,263,False,0.27671530861959576,0.27281790990664373,0.45046678147376057,3.5,3.55,2.15,Botafogo,Bahia,2024-05-05 18:30:00,"{""DS"": 2, ""FF"": 1, ""FS"": 1}"
5,72294,Everson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,0.0,1,282,True,BR_2024_5_1,282,266,False,0.45003423925449004,0.29056264696611217,0.2594031137793978,2.15,3.33,3.73,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""DE"": 2, ""GS"": 2}"
5,72391,Fernando Diniz,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,5.23,6,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,{}
5,72772,Luiz Adriano,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,-0.3,5,287,True,BR_2024_5_5,287,276,True,0.25119032299575345,0.31707630935529535,0.4317333676489512,3.85,3.05,2.24,Vitória,São Paulo,2024-05-05 16:01:00,"{""FC"": 1}"
5,72775,Fernandinho,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,1.3,4,293,True,BR_2024_5_4,293,267,True,0.5735449591650926,0.2515810786938265,0.1748739621410809,1.68,3.83,5.51,Athletico-PR,Vasco,2024-05-05 16:01:00,"{""CA"": 1, ""DS"": 1, ""FC"": 2, ""FD"": 1, ""FS"": 1}"
5,73620,Bruno Alves,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,0.8,3,1371,True,BR_2024_5_7,1371,275,True,0.18253814950743674,0.3065481939347112,0.5109136565578521,5.29,3.15,1.89,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""FF"": 1}"
5,78077,Madson,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,5.8,2,293,True,BR_2024_5_4,293,267,True,0.5735449591650926,0.2515810786938265,0.1748739621410809,1.68,3.83,5.51,Athletico-PR,Vasco,2024-05-05 16:01:00,"{""FF"": 1, ""SG"": 1}"
5,78117,Everaldo,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,9.7,5,265,True,BR_2024_5_6,265,263,False,0.27671530861959576,0.27281790990664373,0.45046678147376057,3.5,3.55,2.15,Botafogo,Bahia,2024-05-05 18:30:00,"{""FD"": 1, ""FS"": 1, ""G"": 1}"
5,78580,Jonathan Cafu,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,-0.6,5,1371,True,BR_2024_5_7,1371,275,True,0.18253814950743674,0.3065481939347112,0.5109136565578521,5.29,3.15,1.89,Cuiabá,Palmeiras,2024-05-05 18:30:00,"{""FC"": 2}"
5,79631,Cano,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,9.0,5,266,True,BR_2024_5_1,266,282,True,0.2594031137793978,0.29056264696611217,0.45003423925449004,3.73,3.33,2.15,Fluminense,Atlético-MG,2024-05-04 16:02:00,"{""CA"": 1, ""FD"": 1, ""FF"": 1, ""G"": 1}"
5,80196,Yago Pikachu,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,-0.8,4,356,True,BR_2024_5_3,356,264,False,0.2416380904504569,0.3088026715021813,0.44955923804736164,4.0,3.13,2.15,Corinthians,Fortaleza,2024-05-04 21:00:00,"{""CA"": 1, ""FC"": 1, ""FS"": 1}"
